# ==============================================,,,,,,,,,
# TCC - Log de Teste de Envelhecimento,,,,,,,,,
# ==============================================,,,,,,,,,
# Data/Hora Início: 2026-01-10 11:52:13,,,,,,,,,
# ,,,,,,,,,
# PARÂMETROS PID (FIXOS):,,,,,,,,,
#   Kp = 2.780000,,,,,,,,,
#   Ki = 0.00106000,,,,,,,,,
#   Kd = 5.000000,,,,,,,,,
# ,,,,,,,,,
# MODELO FOPDT IDENTIFICADO:,,,,,,,,,
#   G(s) = 1.56 * exp(-150.6s) / (1307.2s + 1),,,,,,,,,
#   K = 1.56 °C/%,,,,,,,,,
#   θ = 150.6 s,,,,,,,,,
#   τ = 1307.2 s,,,,,,,,,
# ,,,,,,,,,
# CONFIGURAÇÃO:,,,,,,,,,
#   Taxa de Rampa: 1.0 °C/s,,,,,,,,,
#   Intervalo de Amostragem: 1000 ms,,,,,,,,,
#   Janela PWM (SSR): 5000 ms,,,,,,,,,
# ,,,,,,,,,
# LIMITES DE SEGURANÇA:,,,,,,,,,
#   Temp. Máx. Forno: 130.0 °C,,,,,,,,,
#   Temp. Máx. DUT: 130.0 °C,,,,,,,,,
#   Corrente Máx. PSU: 1.5 A,,,,,,,,,
# ==============================================,,,,,,,,,
# ,,,,,,,,,
time_sec,oven_temp_c,oven_setpoint_c,oven_output_pct,psu_voltage_v,psu_current_a,dut_temp_c,dut_slack,dut_volt,
0,38.14,100,100,1,0.049,36.789,58,0.992,332.838
1,38.27,100,100,1,0.049,36.892,59,0.993,333.838
2,38.33,100,100,1,0.049,36.892,58,0.993,334.838
3.00099999999998,38.33,100,100,1,0.049,37.178,58,0.993,335.839
3.99899999999997,38.37,100,100,1,0.049,37.557,60,0.993,336.837
5,38.5,100,100,1,0.049,37.291,59,0.993,337.838
5.99899999999997,38.61,100,100,1,0.049,37.168,58,0.993,338.837
6.99899999999997,38.64,100,100,1,0.049,36.42,59,0.993,339.837
7.99899999999997,38.67,100,100,1,0.049,36.902,60,0.993,340.837
9.00099999999998,38.77,100,100,1,0.049,37.158,60,0.994,341.839
9.99899999999997,38.87,100,100,1,0.049,36.523,60,0.993,342.837
11,38.91,100,100,1,0.049,37.158,58,0.991,343.838
11.999,38.97,100,100,1,0.049,37.188,60,0.993,344.837
13.001,39.02,100,100,1,0.049,36.636,58,0.992,345.839
14,39.29,100,100,1,0.049,37.301,58,0.991,346.838
14.999,39.28,100,100,1,0.049,37.537,58,0.996,347.837
15.999,39.33,100,100,1,0.049,37.045,60,0.995,348.837
17.001,39.41,100,100,1,0.049,37.168,60,0.993,349.839
18.001,39.48,100,100,1,0.049,37.035,58,0.993,350.839
18.999,39.62,100,100,1,0.049,36.902,59,0.995,351.837
20,39.63,100,100,1,0.049,37.148,60,0.992,352.838
21,39.73,100,100,1,0.049,37.138,59,0.993,353.838
22,39.71,100,100,1,0.049,37.424,60,0.994,354.838
23.001,39.78,100,100,1,0.049,37.045,59,0.995,355.839
24,39.96,100,100,1,0.049,37.168,59,0.994,356.838
24.999,39.88,100,100,1,0.049,36.902,59,0.993,357.837
25.999,40.03,100,100,1,0.049,37.035,58,0.992,358.837
27.001,40.13,100,100,1,0.049,37.158,58,0.993,359.839
27.999,40.17,100,100,1,0.049,36.902,60,0.993,360.837
28.999,40.28,100,100,1,0.049,37.178,61,0.994,361.837
