# ==============================================
# TCC - Log de Teste de Envelhecimento
# ==============================================
# Data/Hora Início: 2026-01-10 11:52:13
# 
# PARÂMETROS PID (FIXOS):
#   Kp = 2.780000
#   Ki = 0.00106000
#   Kd = 5.000000
# 
# MODELO FOPDT IDENTIFICADO:
#   G(s) = 1.56 * exp(-150.6s) / (1307.2s + 1)
#   K = 1.56 °C/%
#   θ = 150.6 s
#   τ = 1307.2 s
# 
# CONFIGURAÇÃO:
#   Taxa de Rampa: 1.0 °C/s
#   Intervalo de Amostragem: 1000 ms
#   Janela PWM (SSR): 5000 ms
# 
# LIMITES DE SEGURANÇA:
#   Temp. Máx. Forno: 130.0 °C
#   Temp. Máx. DUT: 130.0 °C
#   Corrente Máx. PSU: 1.5 A
# ==============================================
# 
time_sec,oven_temp_c,oven_setpoint_c,oven_output_pct,psu_voltage_v,psu_current_a,dut_temp_c,dut_slack,dut_volt
0.951,27.48,100.00,100.00,1.000,0.0480,34.707,60,0.993
1.901,27.43,100.00,100.00,1.000,0.0480,34.954,59,0.995
2.851,27.46,100.00,100.00,1.000,0.0480,34.924,61,0.995
3.838,27.46,100.00,100.00,1.000,0.0480,34.924,61,0.995
4.837,27.45,100.00,100.00,1.000,0.0480,35.456,60,0.993
5.838,27.42,100.00,100.00,1.000,0.0480,35.692,61,0.993
6.837,27.36,100.00,100.00,1.000,0.0480,35.569,59,0.994
7.838,27.42,100.00,100.00,1.000,0.0480,35.672,60,0.993
8.838,27.44,100.00,100.00,1.000,0.0480,35.436,59,0.993
9.837,27.44,100.00,100.00,1.000,0.0480,35.426,59,0.993
10.837,27.47,100.00,100.00,1.000,0.0480,35.682,61,0.991
11.837,27.46,100.00,100.00,1.000,0.0480,35.652,60,0.993
12.838,27.46,100.00,100.00,1.000,0.0480,35.396,59,0.993
13.837,27.37,100.00,100.00,1.000,0.0480,36.051,61,0.993
14.837,27.41,100.00,100.00,1.000,0.0480,36.307,60,0.993
15.838,27.36,100.00,100.00,1.000,0.0480,35.815,60,0.993
16.838,27.46,100.00,100.00,1.000,0.0480,35.785,60,0.993
17.838,27.37,100.00,100.00,1.000,0.0480,35.672,60,0.994
18.838,27.34,100.00,100.00,1.000,0.0480,35.682,60,0.993
19.837,27.36,100.00,100.00,1.000,0.0480,36.563,58,0.994
20.837,27.36,100.00,100.00,1.000,0.0480,36.051,60,0.994
21.837,27.36,100.00,100.00,1.000,0.0480,36.041,59,0.993
22.839,27.36,100.00,100.00,1.000,0.0480,36.307,59,0.993
23.837,27.44,100.00,100.00,1.000,0.0480,36.051,60,0.993
24.839,27.36,100.00,100.00,1.000,0.0480,36.041,58,0.995
25.838,27.36,100.00,100.00,1.000,0.0480,36.307,58,0.993
26.837,27.36,100.00,100.00,1.000,0.0480,36.174,60,0.993
27.837,27.36,100.00,100.00,1.000,0.0480,35.928,59,0.993
28.838,27.44,100.00,100.00,1.000,0.0480,35.938,60,0.993
29.837,27.40,100.00,100.00,1.000,0.0490,36.307,60,0.994
30.838,27.39,100.00,100.00,1.000,0.0480,35.529,59,0.993
31.837,27.43,100.00,100.00,1.000,0.0480,36.041,60,0.994
32.838,27.30,100.00,100.00,1.000,0.0480,36.287,60,0.995
33.837,27.39,100.00,100.00,1.000,0.0480,36.307,60,0.995
34.837,27.47,100.00,100.00,1.000,0.0480,35.928,59,0.993
35.837,27.35,100.00,100.00,1.000,0.0490,36.543,59,0.993
36.837,27.39,100.00,100.00,1.000,0.0490,35.918,60,0.993
37.837,27.38,100.00,100.00,1.000,0.0480,36.204,60,0.993
38.839,27.33,100.00,100.00,1.000,0.0480,36.051,59,0.993
39.837,27.34,100.00,100.00,1.000,0.0490,36.164,59,0.992
40.837,27.42,100.00,100.00,1.000,0.0480,36.174,60,0.994
41.838,27.45,100.00,100.00,1.000,0.0490,36.154,60,0.993
42.837,27.47,100.00,100.00,1.000,0.0490,36.686,60,0.995
43.839,27.42,100.00,100.00,1.000,0.0490,36.553,60,0.992
44.838,27.42,100.00,100.00,1.000,0.0490,36.154,58,0.995
45.838,27.40,100.00,100.00,1.000,0.0490,36.041,59,0.994
46.838,27.41,100.00,100.00,1.000,0.0490,36.819,60,0.992
47.837,27.42,100.00,100.00,1.000,0.0490,37.055,60,0.996
48.838,27.48,100.00,100.00,1.000,0.0480,36.533,60,0.994
49.837,27.41,100.00,100.00,1.000,0.0490,36.041,60,0.994
50.837,27.46,100.00,100.00,1.000,0.0490,36.287,59,0.994
51.838,27.45,100.00,100.00,1.000,0.0480,36.676,60,0.993
52.837,27.36,100.00,100.00,1.000,0.0490,36.287,58,0.995
53.837,27.38,100.00,100.00,1.000,0.0480,35.406,60,0.993
54.837,27.40,100.00,100.00,1.000,0.0490,36.809,58,0.994
55.839,27.47,100.00,100.00,1.000,0.0490,35.642,60,0.993
56.837,27.43,100.00,100.00,1.000,0.0480,35.662,59,0.993
57.837,27.40,100.00,100.00,1.000,0.0490,36.174,59,0.993
58.837,27.43,100.00,100.00,1.000,0.0480,36.676,60,0.993
59.837,27.42,100.00,100.00,1.000,0.0490,36.154,61,0.995
60.837,27.33,100.00,100.00,1.000,0.0490,36.553,61,0.994
61.838,27.42,100.00,100.00,1.000,0.0490,36.543,59,0.993
62.838,27.42,100.00,100.00,1.000,0.0490,36.297,60,0.993
63.837,27.44,100.00,100.00,1.000,0.0490,36.317,59,0.995
64.838,27.43,100.00,100.00,1.000,0.0490,36.184,58,0.994
65.837,27.45,100.00,100.00,1.000,0.0490,37.065,61,0.993
66.837,27.49,100.00,100.00,1.000,0.0490,36.799,60,0.993
