# ==============================================
# TCC - Log de Teste de Envelhecimento
# ==============================================
# Data/Hora Início: 2026-01-11 18:17:54
# 
# PARÂMETROS PID (FIXOS):
#   Kp = 2.780000
#   Ki = 0.00230000
#   Kd = 0.000000
# 
# MODELO FOPDT IDENTIFICADO:
#   G(s) = 1.56 * exp(-150.6s) / (1307.2s + 1)
#   K = 1.56 °C/%
#   θ = 150.6 s
#   τ = 1307.2 s
# 
# CONFIGURAÇÃO:
#   Taxa de Rampa: 1.0 °C/s
#   Intervalo de Amostragem: 1000 ms
#   Janela PWM (SSR): 5000 ms
# 
# LIMITES DE SEGURANÇA:
#   Temp. Máx. Forno: 130.0 °C
#   Temp. Máx. DUT: 140.0 °C
#   Corrente Máx. PSU: 1.5 A
# ==============================================
# 
time_sec,oven_temp_c,oven_setpoint_c,oven_output_pct,psu_voltage_v,psu_current_a,dut_temp_c,dut_slack,dut_volt
1.051,36.40,36.34,8.71,0.999,0.0470,35.067,56,0.993
2.101,36.30,37.34,8.71,0.999,0.0480,35.456,58,0.993
3.151,36.35,37.34,8.71,0.999,0.0480,35.559,56,0.992
4.201,36.34,38.34,8.71,0.999,0.0480,34.821,56,0.992
5.222,36.28,38.34,8.71,0.999,0.0480,35.835,57,0.993
6.221,36.33,39.34,8.38,0.999,0.0480,35.702,56,0.993
7.221,36.31,39.34,8.38,0.999,0.0480,34.914,57,0.992
8.221,36.33,40.34,8.38,0.999,0.0480,35.815,56,0.992
9.222,36.37,40.34,8.38,0.999,0.0480,35.569,57,0.992
10.221,36.30,41.34,8.38,0.999,0.0480,35.416,56,0.992
11.222,36.29,41.34,14.10,0.999,0.0480,35.948,56,0.992
12.222,36.39,42.34,14.10,0.999,0.0480,35.938,56,0.990
13.222,36.47,42.34,14.10,0.999,0.0480,35.938,55,0.991
14.222,36.42,43.34,14.10,0.999,0.0480,36.061,55,0.992
15.222,36.38,43.34,14.10,0.999,0.0480,35.682,58,0.993
16.221,36.47,44.34,14.10,0.999,0.0480,36.194,56,0.992
17.221,36.44,44.34,22.12,0.999,0.0480,36.194,58,0.993
18.221,36.53,45.34,22.12,0.999,0.0480,36.061,57,0.993
19.221,36.63,46.34,22.12,0.999,0.0480,35.549,57,0.993
20.222,36.65,46.34,22.12,0.999,0.0480,35.938,55,0.993
21.222,36.67,47.34,29.95,0.999,0.0480,35.549,56,0.991
22.222,36.69,47.34,29.95,0.999,0.0480,35.928,57,0.993
23.222,36.79,48.34,29.95,0.999,0.0480,35.682,56,0.993
24.222,36.81,48.34,29.95,0.999,0.0480,36.031,57,0.993
25.221,36.85,49.34,29.95,0.999,0.0480,36.410,56,0.993
26.222,36.90,49.34,35.01,0.999,0.0480,36.031,57,0.993
27.222,36.94,50.34,35.01,0.999,0.0480,35.795,57,0.993
28.222,37.13,51.34,35.01,0.999,0.0480,36.051,55,0.993
29.221,37.13,51.34,35.01,0.999,0.0480,36.327,55,0.993
30.222,37.12,51.34,35.01,0.999,0.0480,35.908,56,0.991
31.221,37.11,52.34,35.01,0.999,0.0480,36.174,57,0.992
32.221,37.19,53.34,42.74,0.999,0.0490,36.031,57,0.992
33.221,37.27,53.34,42.74,0.999,0.0480,36.184,57,0.991
34.221,37.41,54.34,42.74,0.999,0.0490,35.908,58,0.992
35.221,37.40,54.34,42.74,0.999,0.0480,36.420,57,0.993
36.221,37.40,55.34,50.68,0.999,0.0480,35.406,58,0.992
37.221,37.49,55.34,50.68,0.999,0.0480,36.061,57,0.993
38.221,37.48,56.34,50.68,0.999,0.0480,36.154,57,0.993
39.222,37.56,56.34,50.68,0.999,0.0480,36.184,55,0.993
40.221,37.63,57.34,50.68,0.999,0.0490,36.194,57,0.993
41.221,37.63,57.34,50.68,0.999,0.0480,36.164,57,0.991
42.221,37.67,58.34,58.51,0.999,0.0480,36.174,57,0.991
43.221,37.75,58.34,58.51,0.999,0.0480,36.287,56,0.992
44.221,37.70,59.34,58.51,0.999,0.0490,36.154,57,0.993
45.222,37.88,60.34,58.51,0.999,0.0480,36.553,55,0.991
46.221,37.92,60.34,63.66,0.999,0.0490,36.420,57,0.992
47.221,37.89,61.34,63.66,0.999,0.0490,36.789,55,0.993
48.221,38.07,61.34,63.66,0.999,0.0480,35.898,57,0.992
49.222,38.04,62.34,63.66,0.999,0.0490,36.164,57,0.992
50.223,38.08,62.34,63.66,0.999,0.0480,36.297,56,0.993
51.222,38.18,63.34,71.56,0.999,0.0480,36.932,55,0.990
52.221,38.16,63.34,71.56,0.999,0.0490,36.563,58,0.993
53.221,38.33,64.34,71.56,0.999,0.0480,36.420,56,0.991
54.221,38.28,64.34,71.56,0.999,0.0480,36.164,56,0.991
55.221,38.37,65.34,71.56,0.999,0.0490,36.194,55,0.993
56.221,38.40,65.34,71.56,0.999,0.0490,36.819,57,0.993
57.221,38.41,66.34,79.63,0.999,0.0490,36.184,57,0.994
58.221,38.47,66.34,79.63,0.999,0.0490,36.164,56,0.992
59.221,38.46,67.34,79.63,0.999,0.0490,36.942,57,0.992
60.222,38.67,68.34,79.63,0.999,0.0490,36.553,56,0.990
61.221,38.65,68.34,84.89,0.999,0.0490,36.154,56,0.992
