Data,Hora,Temperatura,Slack,Tensão
07/04/2025,12:47:32,101036,134,1228
07/04/2025,12:47:34,100135,137,1231
07/04/2025,12:47:36,100628,135,1236
07/04/2025,12:47:38,100628,135,1239
07/04/2025,12:47:40,100628,137,1242
07/04/2025,12:47:42,101282,137,1245
07/04/2025,12:47:44,101253,137,1248
07/04/2025,12:47:46,101652,138,1253
07/04/2025,12:47:48,101376,136,1254
07/04/2025,12:47:50,101376,138,1259
07/04/2025,12:47:52,101868,137,1261
07/04/2025,12:47:54,101848,136,1260
07/04/2025,12:47:56,102247,136,1263
07/04/2025,12:47:58,101888,136,1266
07/04/2025,12:48:00,101878,137,1270
07/04/2025,12:48:02,102503,137,1271
07/04/2025,12:48:04,102513,138,1277
07/04/2025,12:48:06,102483,137,1281
07/04/2025,12:48:08,103241,137,1282
07/04/2025,12:48:10,103241,136,1285
07/04/2025,12:48:12,103241,137,1288
07/04/2025,12:48:14,102965,135,1291
07/04/2025,12:48:16,102852,137,1290
07/04/2025,12:48:18,103364,135,1290
07/04/2025,12:48:20,104235,135,1291
07/04/2025,12:48:22,103827,135,1289
07/04/2025,12:48:24,104349,135,1288
07/04/2025,12:48:26,104511,135,1295
07/04/2025,12:48:28,103969,135,1294
07/04/2025,12:48:30,104575,136,1296
07/04/2025,12:48:32,104073,135,1296
07/04/2025,12:48:34,104102,135,1296
07/04/2025,12:48:36,104349,136,1295
07/04/2025,12:48:38,104093,135,1295
07/04/2025,12:48:40,104216,134,1295
07/04/2025,12:48:42,104176,134,1295
07/04/2025,12:48:44,104595,135,1294
07/04/2025,12:48:46,104605,134,1296
07/04/2025,12:48:48,104708,134,1296
07/04/2025,12:48:50,104481,134,1294
07/04/2025,12:48:52,104329,136,1296
07/04/2025,12:48:54,103960,135,1297
07/04/2025,12:48:56,104073,135,1294
07/04/2025,12:48:58,104595,134,1295
07/04/2025,12:49:00,103846,134,1295
07/04/2025,12:49:02,103704,134,1295
07/04/2025,12:49:04,104595,134,1295
07/04/2025,12:49:06,104329,136,1296
07/04/2025,12:49:08,104358,135,1297
07/04/2025,12:49:10,104585,134,1294
07/04/2025,12:49:12,104870,135,1296
07/04/2025,12:49:14,104708,135,1295
07/04/2025,12:49:16,104718,135,1295
07/04/2025,12:49:18,104452,135,1294
07/04/2025,12:49:20,104329,135,1294
07/04/2025,12:49:22,103713,134,1295
07/04/2025,12:49:24,104831,135,1294
07/04/2025,12:49:26,104595,134,1294
07/04/2025,12:49:28,103684,136,1294
07/04/2025,12:49:30,105087,134,1294
07/04/2025,12:49:32,104452,134,1295
07/04/2025,12:49:34,104841,136,1294
07/04/2025,12:49:36,104216,136,1295
07/04/2025,12:49:38,104481,135,1295
07/04/2025,12:49:40,104698,135,1294
07/04/2025,12:49:42,104718,134,1294
07/04/2025,12:49:44,104831,134,1296
07/04/2025,12:49:46,104708,135,1295
